text,value
69,1.0
@55,1.0
@ssfcker,2.8
@ssfucker,2.8
@ssfvcker,2.4
@sshole,1.6
0ral seks,1.0
0ral sex,1.8
0rg@sm,1.0
0rgasms,1.0
3jakulating,1.6
4r5e,1.4
4r5ed,1.4
4r5es,1.4
4skin,1.0
5h17,1.0
5h1t,1.0
5kank,2.0
a_s_s,1.0
abbie,1.2
abeed,1.8
aboe,1.0
anal,1.0
anal hole,2.2
anal hore,2.4
anal pirate,2.2
analingus,1.6
analplug,2.2
analplugs,2.0
anilingus,1.8
animal fucker,3.0
anus,1.0
anus plug,2.0
ape shit,1.6
ape shite,1.6
apeshit,1.4
apeshite,1.4
ar5e,1.0
ar5ehole,1.4
arse,1.0
arse gobbler,2.0
arse hole,1.2
arse-bandit,2.0
arse-bandits,2.2
arse-fucker,2.6
arse-fuckers,2.6
arse-hole,1.8
arse-shagger,2.4
arsefuck,2.8
arsefucker,2.6
arsehole,1.4
arseshit,1.8
arsewipe,1.4
ashole,1.6
ass,1.0
ass bandit,1.6
ass eating boiolas,2.8
ass eating nob jokeys,2.8
ass fecker,2.6
ass fuck,2.8
ass fucker,2.6
ass fucking boiolas,2.6
ass fucking nob jokeys,2.6
ass hole,1.2
ass kisser,1.2
ass licking,1.6
ass muncher,2.2
ass-bandit,1.8
ass-fucker,2.8
ass-fuckers,2.6
ass-hole,2.0
asses,1.0
assface,1.6
assfck,2.6
assfcker,2.8
assfk,2.2
assfkcer,2.6
assfker,2.2
assfkr,2.2
assfook,2.6
assfuccer,2.2
assfuck,2.6
assfuck3r,2.8
assfucker,2.8
assfuckers,2.8
assfuckerz,2.4
assfukah,2.4
assfukka,2.8
assfukker,2.6
assfukkerz,2.8
assfvck3r,3.0
assfvcker,2.6
asshat,1.2
asshol3,1.8
asshole,1.2
asshole fucker,2.6
assholes,1.6
assmunch,1.8
assmuncher,2.2
asswhole,1.4
asswipe,1.6
axe wound,1.2
azz,1.0
azzhole,1.6
b to the inch,1.2
b！tch,1.4
b00bz,1.0
b0llock,1.0
b0llocks,1.2
b1+ch,1.0
b17ch,1.4
b1otch,1.4
b1otchs,1.2
b1tch,1.4
b1tch1ng,1.2
b1tch35,1.0
b1tch3s,1.4
b1tchees,1.4
b1tches,1.4
b1tchez,1.2
b1tchin,1.2
b1tching,1.2
b1tchs,1.4
b1tchy,1.2
baby batter,1.4
ballbag,1.0
bangbros,1.6
bassturd,1.2
bastard,1.2
bastardish,1.0
bastards,1.6
basterd,1.0
bastid,1.2
bastinado,1.8
basturd,1.2
bater,1.6
bates,1.0
batshit,1.0
batshite,1.2
bbc,1.4
bean queen,2.2
beaner,2.6
beaners,2.6
beat my meat,1.2
beat off,1.2
beat the meat,1.4
beat your meat,1.4
beeotch,1.0
bell end,1.0
bellend,1.2
bender,1.6
bewbs,1.0
beyoch,1.2
beyotch,1.2
