tiktok_links,text,sentiment,keywords_rake,keywords_spacy,main_topic_lda
https://www.tiktok.com/@vicblends/video/7304049323598204203?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143," I got a question. I give out free haircuts. I was wondering if you had some time today, man. I would love to bless you with a haircut. You take a knee, boy? I think I can make you look pretty good, man. Sure. I'm positive. What are you going to do now? Right here. I got my table and my chair. Sure. Why not? Very good. Come on, man. I got you. What is your name and what do you do? Glenn and I'm a software developer. And how long have you been a software developer for? 26 years. It's a long time to be in a career field. Yeah. Same company, too. Oh, wow. That's a blessing even more. It really is. So, working for it. See, I'm 58 now. So, I'm hoping 62. That's what I'm hoping to shoot. A couple more years. That's a long more years. A couple more years. You're almost there. How do you feel? I know people have had that problem where, you know, they don't like their 50s. I mean, I really enjoy my 50s. What is the best part about being 50? I think just the relaxation, not worrying so much about things and the boring. I'm not worrying about how people would perceive you. I'm just going to worry about you about that. What do you think is the biggest difference from your generation to this one? I think this generation is much for you to, you know, explore things that, when I was growing up, I don't think we had the opportunity to do it and and I hope that you can get a better job. And then, you know, we have to have this, and that you will have to look at things in your own way as a youngster, and that you will be able to experience what you are doing. What is the best part about being 50? I think just the relaxation. Not worrying so much about things and the boring. Not worrying about how people would perceive you. the up to you, the dude, and the opportunities that come forward in that I don't think we have a murion. I could definitely agree to that. I mean this generation stands up for the rights a lot, whether people like to give us credit for it or not, but we believe in equality in a big way so acceptance of a person for whoever they are has been so big for us. Yeah. You stay by yourself? Yeah, live by yourself. Never marry or anything so yeah. Was that ever a goal for you? I think when you're younger you expect that you're just going to get married, but over time you just realize that maybe there's just not somebody that you really are interested. I know how you got good friends, that's what I have now. Have you gave up the idea of being married? No. No. You never know man. Who knows if this haircut I do. Might have somebody for you by the time you get home man. You can never give up on the idea of love though. You can. That is true. I love that man. I mean I am dating someone right now. Okay. And we get along really well and I think we're a good match. You know, just playing it by ear and seeing how it feels about each other. It's the best way to do it man. It's a play by ear. Take it day by day. What do you think the best piece of advice that you ever heard? Be kind. Just to be kind of people. You don't know what people are going through at the end of your time. And so don't just assume you know what somebody is going through. Any kind of people is something I think is getting lost. I think it's the most important thing to be kind to our shoulders. We never know how far one small gesture can do for somebody. Oh look at that dude. You look like I'm looking smooth. Yes sir. Yes sir. It's good. I like it. And I appreciate you. Thank you so much for the trust. Yeah. Thank you. It means a lot. Thank you. Hope you get feeling better. Look at them.",Non Toxic or Negative,"['far one small gesture', 'get along really well', 'could definitely agree', 'get feeling better', 'dating someone right', 'people would perceive', 'people would perceive', 'get home man', 'give us credit', 'look pretty good', 'whether people like', 'got good friends', 'never know man', 'better job', 'would love', 'never marry', 'never give', 'get married', 'yes sir', 'yes sir', 'software developer', 'software developer', 'really enjoy', 'looking smooth', 'important thing', 'good match', 'getting lost', 'free haircuts', 'career field', 'blessing even', 'biggest difference', 'best piece', 'best part', 'best part', 'love though', 'best way', 'never know', 'look like', 'hoping 62', 'ever heard', 'come forward', 'time today', 'know people', 'generation stands', 'oh look', 'explore things', '26 years', 'big way', 'long time', 'get', 'one', 'us', 'right', 'really', 'really', 'people', 'people', 'people', 'good', 'good', 'give', 'look', 'look', 'like', 'like', 'way', 'love', 'man', 'man', 'man', 'man', 'man', 'oh', 'married', 'hoping', 'got', 'got', 'got', 'ever', 'come', 'big', 'time', 'time', 'time', 'know', 'know', 'know', 'know', 'know', 'know', 'know', 'long', 'long', 'generation', 'generation', 'years', 'years', 'years', 'things', 'things', 'things', 'youngster', 'younger', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'wow', 'worrying', 'worrying', 'worrying', 'worrying', 'worry', 'working', 'wondering', 'whoever', 'trust', 'true', 'think', 'think', 'think', 'think', 'think', 'think', 'think', 'think', 'think', 'think', 'think', 'think', 'thank', 'thank', 'thank', 'take', 'take', 'table', 'sure', 'sure', 'stay', 'something', 'somebody', 'somebody', 'somebody', 'somebody', 'shoulders', 'shoot', 'seeing', 'see', 'rights', 'relaxation', 'relaxation', 'realize', 'question', 'problem', 'positive', 'playing', 'play', 'person', 'opportunity', 'opportunities', 'okay', 'name', 'murion', 'much', 'much', 'much', 'much', 'might', 'means', 'mean', 'mean', 'mean', 'maybe', 'make', 'lot', 'lot', 'live', 'knows', 'knee', 'kind', 'kind', 'kind', 'kind', 'interested', 'idea', 'idea', 'hope', 'hope', 'haircut', 'haircut', 'growing', 'going', 'going', 'going', 'going', 'going', 'goal', 'glenn', 'gave', 'feels', 'feel', 'experience', 'expect', 'equality', 'end', 'ear', 'ear', 'dude', 'dude', 'day', 'day', 'couple', 'couple', 'company', 'chair', 'boy', 'boring', 'boring', 'bless', 'believe', 'assume', 'appreciate', 'anything', 'almost', 'advice', 'acceptance', 'able', '58', '50s', '50s', '50', '50']","[('today', 'DATE'), ('Glenn', 'PERSON'), ('26 years', 'DATE'), ('58', 'DATE'), ('62', 'DATE'), ('A couple more years', 'DATE'), ('a long more years', 'DATE'), ('A couple more years', 'DATE'), ('50s', 'DATE'), ('50s', 'DATE'), ('one', 'CARDINAL')]","[(0, '0.027*""think"" + 0.025*""know"" + 0.023*""\'s"" + 0.019*""\'m"" + 0.017*""people""')]"
https://www.tiktok.com/@keenanbank/video/7305854663285312773?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143," How much for this tomato? Can I just buy one? Yeah, like $25. That's it? Yeah. I'm just hungry, I want to make a sandwich. Yeah, right? I can buy one? Yeah. I'll just $25. Yeah. $25. Can I donate today? To what? You. All the money is going to that. Let's bring it to that. So you don't want your face? So it will go to community later? Absolutely. Yeah. I think everything. Oh, in that case, can I donate more? No. No, like hey, what are you out here doing? Are you like? I'm donating and buying tomatoes. I don't want to be like a burger. No, I'm a customer. You can actually keep the tomato. I should go. I'll keep it. Do you have a bag? Give them back some money. I was going to and then he gave me $10. Thank you. Here's your change for the first thing. I want to donate it. Are you sure? Yeah. Buy yourself some lunch. I already keep it. We get like $7 vouchers. Oh, okay. Okay, maybe I'll buy a drink or something. Yeah. It's because who likes change? A lot of people actually. Yeah. I'm not. I'm not. I'm not. I'm not. A lot of people actually. Not. Oh, boy, a drink. There's so many lemonade stands. What's your name? I'm Keenan. Nice to meet you. I have one message to the world. What would that be? Love is love. Be happy and it's really it. Awesome. Good job.",Non Toxic or Negative,"['many lemonade stands', 'think everything', 'people actually', 'people actually', 'one message', 'good job', 'first thing', 'community later', 'buying tomatoes', '7 vouchers', 'already keep', 'actually keep', 'likes change', 'buy one', 'buy one', 'like hey', 'get like', 'donate today', 'keep', 'change', 'buy', 'buy', 'like', 'like', 'like', 'donate', 'donate', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'yeah', 'would', 'world', 'want', 'want', 'want', 'want', 'tomato', 'tomato', 'thank', 'sure', 'something', 'sandwich', 'right', 'really', 'okay', 'okay', 'oh', 'oh', 'oh', 'nice', 'name', 'much', 'money', 'money', 'meet', 'maybe', 'make', 'lunch', 'love', 'love', 'lot', 'lot', 'let', 'keenan', 'hungry', 'happy', 'going', 'going', 'go', 'go', 'give', 'gave', 'face', 'drink', 'drink', 'donating', 'customer', 'case', 'burger', 'bring', 'boy', 'bag', 'back', 'awesome', 'absolutely', '25', '25', '25', '10']","[('25', 'MONEY'), ('just $25', 'MONEY'), ('25', 'MONEY'), ('today', 'DATE'), ('10', 'MONEY'), ('first', 'ORDINAL'), ('7', 'MONEY'), ('Keenan', 'PERSON')]","[(0, '0.048*""yeah"" + 0.043*""\'m"" + 0.038*""\'s"" + 0.033*""like"" + 0.024*""buy""')]"
https://www.tiktok.com/@dancookedit/video/7294418505070398766?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143," How did the biggest Chipotle burrito in the world just to see how much it would cost? And the price of it actually really surprised me. I'm just trying to get the biggest burrito possible. Now don't get me wrong, I really love Chipotle, but in the past two years they've increased their prices four times. Per reference the normal burrito that I ordered cost almost $17. So is it more affordable to get a monster burrito instead? They put down three tortillas and started loading it with stuff, starting with white rice and triple black beans. At this point they already needed two people to move it to the side. They then put three scoops of chicken in all of the toppings, tomato, hot sauce, sour cream, corn, cheese, double guacamole and lettuce. But when they try to roll it up, it did not go as planned. With the power of two people they couldn't get everything to fit into the three tortillas, so they grabbed another one and added it to the middle. But these employees had some serious burrito rolling skills and after a bit of struggling they were finally able to roll it up and make the biggest burrito I have ever seen. They then packaged it very nicely for me and the total price for this triple burrito was 2327.",Non Toxic or Negative,"['serious burrito rolling skills', 'already needed two people', 'really love chipotle', 'prices four times', 'past two years', 'grabbed another one', 'actually really surprised', 'monster burrito instead', 'triple black beans', 'ordered cost almost', 'biggest burrito possible', 'biggest chipotle burrito', 'put three scoops', 'two people', 'biggest burrito', 'triple burrito', 'normal burrito', 'would cost', 'three tortillas', 'three tortillas', 'white rice', 'started loading', 'sour cream', 'per reference', 'hot sauce', 'finally able', 'ever seen', 'double guacamole', 'total price', 'get everything', 'put', 'price', 'get', 'get', 'get', 'wrong', 'world', 'trying', 'try', 'toppings', 'tomato', 'stuff', 'struggling', 'starting', 'side', 'see', 'roll', 'roll', 'power', 'point', 'planned', 'packaged', 'nicely', 'much', 'move', 'middle', 'make', 'lettuce', 'increased', 'go', 'fit', 'employees', 'corn', 'chicken', 'cheese', 'bit', 'affordable', 'added', '2327', '17']","[('Chipotle', 'PERSON'), ('Chipotle', 'ORG'), ('the past two years', 'DATE'), ('four', 'CARDINAL'), ('almost $17', 'MONEY'), ('three', 'CARDINAL'), ('two', 'CARDINAL'), ('three', 'CARDINAL'), ('two', 'CARDINAL'), ('three', 'CARDINAL'), ('2327', 'DATE')]","[(0, '0.037*""burrito"" + 0.023*""get"" + 0.019*""three"" + 0.019*""biggest"" + 0.019*""price""')]"
https://www.tiktok.com/@championsleague/video/7307236577925729569?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143, So I could hear mereu認 freezing mais怕 and Victmak And I wouldn't lie to you I Grounded you But I can't believe you were kidding me,Non Toxic or Negative,"['could hear mereu認 freezing mais怕', 'victmak', 'lie', 'kidding', 'grounded', 'believe']","[('Victmak', 'ORG')]","[(0, '0.111*""n\'t"" + 0.074*""victmak"" + 0.074*""mereu認"" + 0.074*""kidding"" + 0.074*""would""')]"
https://www.tiktok.com/@lookalike.tv/video/7287589563147734318?is_from_webapp=1&sender_device=pc&web_id=7275459214855194143," Every time I say Oh, I feel the freedom to my home I've been lonely too long For I can't be so strong To change the form and take my home I need you through There's no time I'll ever go through I'm sorry, sorry, sorry I'm sharing, sharing, lady Go into the ocean Love is where you're finding Listen to your heart I'm sharing, sharing, lady I live in the ocean It's always like the first time You see the people I'm sharing, sharing, lady I'm the blackest woman I've ever been Listen to your heart I'm sharing, sharing, lady Go into the ocean And you'll be waiting You'll be waiting You'll be waiting You'll be waiting",Non Toxic or Negative,"['say oh', 'blackest woman', 'always like', 'first time', 'every time', 'lady go', 'lady go', 'finding listen', 'ever go', 'ocean love', 'time', 'listen', 'lady', 'lady', 'ever', 'ocean', 'ocean', 'waiting', 'waiting', 'waiting', 'waiting', 'take', 'strong', 'sorry', 'sorry', 'sorry', 'sharing', 'sharing', 'sharing', 'sharing', 'sharing', 'sharing', 'sharing', 'sharing', 'see', 'people', 'need', 'long', 'lonely', 'live', 'home', 'home', 'heart', 'heart', 'freedom', 'form', 'feel', 'change']","[('Love', 'WORK_OF_ART'), ('first', 'ORDINAL')]","[(0, '0.078*""sharing"" + 0.060*""\'m"" + 0.052*""\'ll"" + 0.043*""waiting"" + 0.043*""lady""')]"
https://vm.tiktok.com/ZT85rcSLS/, We're probably dead dude. Hey nice day don't flash,Non Toxic or Negative,"['probably dead dude', 'hey nice day', 'flash']",[],"[(0, '0.111*""nice"" + 0.111*""day"" + 0.111*""dude"" + 0.111*""dead"" + 0.111*""n\'t""')]"
https://vm.tiktok.com/ZT85hNPpn/," Okay, that's all. Emmy! Oh my God, oh my God, oh my God, oh my God! YING! YING!",Non Toxic or Negative,"['ying', 'ying', 'okay', 'oh', 'oh', 'oh', 'oh', 'god', 'god', 'god', 'god', 'emmy']","[('YING', 'PERSON')]","[(0, '0.263*""god"" + 0.263*""oh"" + 0.158*""ying"" + 0.105*""\'s"" + 0.105*""emmy""')]"
https://vm.tiktok.com/ZT85rvWHM/," this Oh Oh my god, I'm so fucking god Oh",Toxic,"['fucking god oh', 'oh oh', 'god']",[],"[(0, '0.364*""oh"" + 0.273*""god"" + 0.182*""\'m"" + 0.182*""fucking""')]"
https://vm.tiktok.com/ZT85rTC8R/, I hate you! I've been waiting for this all my fucking life! I fucking hate you! Fuck you! Fuck you! Stop! This is... this is the part I can't believe it has stood there.,Toxic,"['fucking life', 'fucking hate', 'hate', 'waiting', 'stop', 'stood', 'part', 'fuck', 'fuck', 'believe', '...']",[],"[(0, '0.103*""fucking"" + 0.103*""hate"" + 0.103*""fuck"" + 0.069*""believe"" + 0.069*""stop""')]"
https://vm.tiktok.com/ZT85hMS8U/," Mary sold me a PSA 10 first edition Charizard. There's only like 120, maybe 121 in the world. I went in there with the intention of buying one of his BGS 10 Charzards. There's only two in the world. But I thought to myself, I wonder what would happen if I cut this card out, this $150,000 card out of the PSA case and submitted it as a raw card. Well, that's risky because what if they like go, oh, it's a seven now? About six. Not only that, they can downgrade it. Boy, if it goes, no. What if when you take out the $150,000 card from the PSA slab, because it's not a super clean process, you have to use like wire cutters and like a screwdriver. What's there? No, I know. If you nick that fucking thing, this much, you lose a hundred grand like this. So I'm like, fuck it, bro. I'm going to try to cut this out of the case and risk losing my investment, my prize possession. So I fucking flew to Texas. I submitted it to BGS as a raw card. It got graded a fucking 10. It became the third BGS 10 in the world, probably five X to value right there. And it fucking worked. I can play fucking work.",Toxic,"['psa 10 first edition charizard', 'use like wire cutters', 'super clean process', 'probably five x', 'third bgs 10', 'bgs 10 charzards', 'play fucking work', 'hundred grand like', 'fucking 10', 'psa slab', 'psa case', 'fucking worked', 'fucking thing', 'fucking flew', 'like go', 'like 120', 'would happen', 'value right', 'risk losing', 'prize possession', 'maybe 121', 'mary sold', 'got graded', 'buying one', 'raw card', 'raw card', '000 card', '000 card', 'bgs', 'like', 'like', 'card', 'case', 'world', 'world', 'world', 'wonder', 'went', 'well', 'two', 'try', 'thought', 'texas', 'take', 'submitted', 'submitted', 'six', 'seven', 'screwdriver', 'risky', 'oh', 'nick', 'much', 'lose', 'know', 'investment', 'intention', 'going', 'goes', 'fuck', 'downgrade', 'cut', 'cut', 'bro', 'boy', 'became', '150', '150']","[('Mary', 'PERSON'), ('Charizard', 'ORG'), ('120', 'CARDINAL'), ('121', 'CARDINAL'), ('one', 'CARDINAL'), ('BGS', 'ORG'), ('only two', 'CARDINAL'), ('150,000', 'MONEY'), ('PSA', 'ORG'), ('seven', 'CARDINAL'), ('About six', 'DATE'), ('150,000', 'MONEY'), ('PSA', 'ORG'), ('a hundred grand', 'CARDINAL'), ('Texas', 'GPE'), ('BGS', 'ORG'), ('10', 'CARDINAL'), ('third', 'ORDINAL'), ('BGS', 'ORG'), ('10', 'CARDINAL'), ('five', 'CARDINAL')]","[(0, '0.036*""like"" + 0.036*""\'s"" + 0.031*""fucking"" + 0.031*""card"" + 0.021*""10""')]"
